ID,Traditional,Simplified,Pinyin,POS,Meaning,Category,Subcategory
L0-001,人,人,rén,N,person,人物,人物
L0-002,你,你,nǐ,Pron,you,人物,人物
L0-003,我,我,wǒ,Pron,"I, me",人物,人物
L0-004,他,他,tā,Pron,"he/she, him/her",人物,人物
L0-004,她,她,tā,Pron,"he/she, him/her",人物,人物
L0-005,您,您,nín,Pron,(polite form of address) you,人物,人物
L0-006,們,们,men,Affix,plural affix,人物,人物
L0-007,大家,大家,dàjiā,N,everyone,人物,人物
L0-008,誰,谁,shéi,N,"who, someone",人物,人物
L0-009,名字,名字,míngzì,N,name,人物,人物
L0-009,名字,名字,míngzi,N,name,人物,人物
L0-010,先生,先生,xiānsheng,N,Mr.,人物,人物
L0-010,先生,先生,xiānshēng,N,Mr.,人物,人物
L0-011,小姐,小姐,xiǎojiě,N,Miss,人物,人物
L0-012,太太,太太,tàitai,N,Mrs.,人物,人物
L0-013,女,女,nǚ,N,girl,人物,人物
L0-013,女生,女生,nǚshēng,N,girl,人物,人物
L0-013,女孩,女孩,nǚhái,N,girl,人物,人物
L0-014,男,男,nán,N,boy,人物,人物
L0-014,男生,男生,nánshēng,N,boy,人物,人物
L0-014,男孩,男孩,nánhái,N,boy,人物,人物
L0-015,朋友,朋友,péngyǒu,N,friend,人物,人物
L0-015,朋友,朋友,péngyou,N,friend,人物,人物
L0-016,家人,家人,jiārén,N,family members,人物,家庭
L0-017,哥,哥,gē,N,elder brother,人物,家庭
L0-017,哥哥,哥哥,gēge,N,elder brother,人物,家庭
L0-018,姊,姊,jiě,N,elder sister,人物,家庭
L0-018,姊姊,姊姊,jiějie,N,elder sister,人物,家庭
L0-019,弟,弟,dì,N,younger brother,人物,家庭
L0-019,弟弟,弟弟,dìdi,N,younger brother,人物,家庭
L0-020,妹,妹,mèi,N,younger sister,人物,家庭
L0-020,妹妹,妹妹,mèimei,N,younger sister,人物,家庭
L0-021,爸,爸,bà,N,father,人物,家庭
L0-021,爸爸,爸爸,bàba,N,father,人物,家庭
L0-022,媽,妈,mā,N,mother,人物,家庭
L0-022,媽媽,妈妈,māma,N,mother,人物,家庭
L0-023,爺爺,爷爷,yéye,N,grandfather,人物,家庭
L0-024,奶奶,奶奶,nǎinai,N,grandmother,人物,家庭
L0-025,阿姨,阿姨,āyí,N,aunt,人物,家庭
L0-026,兒,儿,ér,N,son,人物,家庭
L0-026,兒子,儿子,érzi,N,son,人物,家庭
L0-027,女兒,女儿,nǚ'ér,N,daughter,人物,家庭
L0-028,娃,娃,wá,N,baby; doll,人物,家庭
L0-028,娃娃,娃娃,wáwa,N,baby; doll,人物,家庭
L0-029,大人,大人,dàrén,N,adult,人物,家庭
L0-029,大人,大人,dàren,N,adult,人物,家庭
L0-030,小孩子,小孩子,xiǎoháizi,N,"child, kid",人物,家庭
L0-031,小朋友,小朋友,xiǎopéngyǒu,N,"child, kid",人物,家庭
L0-032,身體,身体,shēntǐ,N,body,人物,身體部位
L0-033,頭,头,tóu,N,head,人物,身體部位
L0-034,頭髮,头发,tóufǎ,N,hair,人物,身體部位
L0-034,頭髮,头发,toufa,N,hair,人物,身體部位
L0-035,毛,毛,máo,N,hair; fur,人物,身體部位
L0-036,臉,脸,liǎn,N,face,人物,身體部位
L0-037,眼睛,眼睛,yǎnjing,N,eye,人物,身體部位
L0-038,耳朵,耳朵,ěrduo,N,ear,人物,身體部位
L0-039,鼻,鼻,bí,N,nose,人物,身體部位
L0-039,鼻子,鼻子,bízi,N,nose,人物,身體部位
L0-040,口,口,kǒu,N/M,mouth;  measure word for a bite,人物,身體部位
L0-041,嘴,嘴,zuǐ,N,mouth,人物,身體部位
L0-041,嘴巴,嘴巴,zuǐba,N,mouth,人物,身體部位
L0-042,牙,牙,yá,N,tooth,人物,身體部位
L0-042,牙齒,牙齿,yáchǐ,N,tooth,人物,身體部位
L0-043,肚,肚,dù,N,belly,人物,身體部位
L0-043,肚子,肚子,dùzi,N,belly,人物,身體部位
L0-044,手,手,shǒu,N,hand,人物,身體部位
L0-045,手指,手指,shǒuzhǐ,N,finger,人物,身體部位
L0-046,腳,脚,jiǎo,N,"foot, leg",人物,身體部位
L0-047,腿,腿,tuǐ,N,leg,人物,身體部位
L0-048,大便,大便,dàbiàn,N/V,(to) poo,人物,身體動作
L0-049,洗澡,洗澡,xǐzǎo,V,to take a bath,人物,身體動作
L0-050,爬,爬,pá,V,to crawl; to climb,人物,身體動作
L0-051,睡,睡,shuì,V,to sleep,人物,身體動作
L0-051,睡覺,睡觉,shuìjiào,V,to sleep,人物,身體動作
L0-052,拿,拿,ná,V,to take,人物,手部動作
L0-053,放,放,fàng,V,to put,人物,手部動作
L0-054,打,打,dǎ,V,to hit; to play (sports and drums),人物,手部動作
L0-055,拍,拍,pāi,V,to clap; to pat; to bounce,人物,手部動作
L0-056,做,做,zuò,V,"to make, to do",人物,手部動作
L0-057,站,站,zhàn,V,to stand,人物,腳部動作
L0-058,坐,坐,zuò,V,"to sit; to travel by (bus, etc.)",人物,腳部動作
L0-059,走,走,zǒu,V,to walk,人物,腳部動作
L0-060,跑,跑,pǎo,V,to run,人物,腳部動作
L0-061,看,看,kàn,V,"to see, to look at, to watch",人物,眼部動作
L0-061,看見,看见,kànjian,V,"to see, to look at, to watch",人物,眼部動作
L0-062,說,说,shuō,V,"to speak, to talk, to say",人物,口部動作
L0-063,聽,听,tīng,V,"to listen, to hear",人物,口部動作
L0-063,聽見,听见,tīngjiàn,V,"to listen, to hear",人物,口部動作
L0-064,叫,叫,jiào,V,to call; to ask,人物,口部動作
L0-065,問,问,wèn,V,to ask,人物,口部動作
L0-066,哈,哈,hā,Ptc,particle used for imitating laughters,人物,口部動作
L0-067,笑,笑,xiào,V,"to smile, to laugh",人物,心理活動
L0-068,哭,哭,kū,V,"to cry, to weep",人物,心理活動
L0-069,快樂,快乐,kuàilè,Vs,happy,人物,心理活動
L0-070,害怕,害怕,hàipà,Vs,"afraid, scared",人物,心理活動
L0-071,可怕,可怕,kěpà,Vs,horrible,人物,心理活動
L0-072,累,累,lèi,Vs,"tired, weary",人物,心理活動
L0-073,痛,痛,tòng,Vs,to ache,人物,心理活動
L0-074,怕,怕,pà,Vs,"afraid, scared",人物,心理活動
L0-075,愛,爱,ài,Vs/N,to love,人物,心理活動
L0-076,喜歡,喜欢,xǐhuān,Vs,to like,人物,心理活動
L0-076,喜歡,喜欢,xǐhuan,Vs,to like,人物,心理活動
L0-077,討厭,讨厌,tǎoyàn,Vs,to hate,人物,心理活動
L0-078,覺得,觉得,juéde,V,to feel,人物,心理活動
L0-079,想,想,xiǎng,V,to think,人物,心理活動
L0-080,知道,知道,zhīdao,V,to know,人物,心理活動
L0-081,意思,意思,yìsi,N,meaning,人物,心理活動
L0-082,胖,胖,pàng,Vs,fat,人物,人格特質
L0-083,瘦,瘦,shòu,Vs,thin,人物,人格特質
L0-084,老,老,lǎo,Vs,old,人物,人格特質
L0-085,美,美,měi,Vs,"beautiful, pretty",人物,人格特質
L0-086,乖,乖,guāi,Vs,well-behaved,人物,人格特質
L0-087,可愛,可爱,kě'ài,Vs,"cute, lovely",人物,人格特質
L0-088,漂亮,漂亮,piàoliang,Vs,"beautiful, pretty",人物,人格特質
L0-089,好像,好像,hǎoxiàng,Adv,"seem, be like",人物,人格特質
L0-090,工人,工人,gōngrén,N,worker,人物,職業
L0-091,老師,老师,lǎoshī,N,teacher,人物,職業
L0-092,學生,学生,xuéshēng,N,student,人物,職業
L0-093,醫生,医生,yīshēng,N,doctor,人物,職業
L0-094,警察,警察,jǐngchá,N,police officer,人物,職業
L0-095,護士,护士,hùshì,N,nurse,人物,職業
L0-095,護士,护士,hùshi,N,nurse,人物,職業
L0-096,上班,上班,shàngbān,V,to go to work,人物,職業
L0-097,工作,工作,gōngzuò,V/N,(to) work,人物,職業
L0-098,忙,忙,máng,Vs,"hurry, hasten",人物,職業
L0-100,零,零,líng,Num,zero,數量,數字
L0-101,一,一,yī,Num,one,數量,數字
L0-102,二,二,èr,Num,two,數量,數字
L0-103,兩,两,liǎng,Num,two,數量,數字
L0-104,三,三,sān,Num,three,數量,數字
L0-105,四,四,sì,Num,four,數量,數字
L0-106,五,五,wǔ,Num,five,數量,數字
L0-107,六,六,liù,Num,six,數量,數字
L0-108,七,七,qī,Num,seven,數量,數字
