ID,Traditional,Simplified,Pinyin,POS,Meaning,Examples,Variants
B1L00-1-01,老師,老师,lǎoshī,N,teacher,,
B1L00-1-02,學生,学生,xuéshēng,N,student,,
B1L00-1-03,你,你,nǐ,N,you,,
B1L00-1-04,我,我,wǒ,N,I; me,,
B1L00-1-05,他,他,tā,N,he; him,,
B1L00-1-06,是,是,shì,Vst,to be,,
B1L00-1-07,你們,你们,nǐmen,N,you (plural),,
B1L00-1-08,我們,我们,wǒmen,N,we; us,,
B1L00-1-09,他們,他们,tāmen,N,they; them,,
B1L00-1-10,人,人,rén,N,person; people,,
B1L00-1-11,先生,先生,xiānshēng,N,Mr.; husband,,
B1L00-1-12,小姐,小姐,xiǎojiě,N,Miss,,
B1L00-1-13,太太,太太,tàitai,N,Ms.; wife,,
B1L01-1-01,新,新,xīn,Vs,new,,
B1L01-1-02,同學,同学,tóngxué,N,classmate,他是新同學。,
B1L01-1-03,她,她,tā,N,she; her,,
B1L01-1-04,誰,谁,shéi,N,who,她是誰？,
B1L01-1-05,叫,叫,jiào,Vst,to be called,我叫王宜文。,
B1L01-1-06,姓,姓,xìng,Vst,to be surnamed,我姓王，叫宜文。,
B1L01-1-07,很,很,hěn,Adv,very,,
B1L01-1-08,可愛,可爱,kě'ài,Vs,lovely; cute,新同學很可愛。,
B1L01-1-09,哪,哪,nǎ/něi,Det,which,,"[[""哪"", ""nǎ""], [""哪"", ""něi""]]"
B1L01-1-10,國,国,guó,N,country,他是哪國人？,
B1L01-1-11,妳,妳,nǐ,N,you (female),,
B1L01-1-12,知道,知道,zhīdào,Vst,to know,,
B1L01-1-13,嗎,吗,ma,Ptc,"sentence-final particle for a ""Yes / No"" question",他是誰？ 妳知道嗎？,
B1L01-1-14,日本,日本,Rìběn,N,Japan,,
B1L01-1-15,臺灣/台灣,台湾/台湾,Táiwān,N,Taiwan,,"[[""臺灣"", ""Táiwān""], [""台灣"", ""Táiwān""]]"
B1L01-1-16,中國,中国,Zhōngguó,N,China,,
B1L01-1-17,美國,美国,Měiguó,N,the USA,A:他是哪國人？ B:他是美國人。,
B1L01-1-18,英國,英国,Yīngguó,N,the UK,,
B1L01-1-19,漂亮,漂亮,piàoliàng,Vs,pretty; beautiful,她很漂亮。,
B1L01-2-01,什麼,什么,shénme,N,what,,
B1L01-2-02,名字,名字,míngzi,N,first name; full name,他叫什麼名字？你知道嗎？,
B1L01-2-03,姓名,姓名,xìngmíng,N,surname and given name (full name),,
B1L01-2-04,呢,呢,ne,Ptc,"sentence-final particle for a ""how about"" question",我是臺灣人，你呢？,
B1L01-2-05,印尼,印尼,Yìnní,N,Indonesia,,
B1L01-2-06,喜歡,喜欢,xǐhuān,Vst,to like,A:你喜歡台灣嗎？ B:我很喜歡台灣。,
B1L01-2-07,你好/妳好,你好/妳好,nǐ hǎo,,hello,,"[[""你好"", ""nǐhǎo""], [""妳好"", ""nǐhǎo""]]"
B1L01-2-08,好,好,hǎo,,fine; good; well; nice; ok,A:你好嗎？,
B1L01-2-09,請問,请问,qǐngwèn,,"May I ask...; Excuse me, ...",請問你是臺灣人嗎？,
B1L01-3-01,大家,大家,dàjiā,N,everyone,大家好，我是小林友美。,
B1L01-3-02,朋友,朋友,péngyǒu,N,friend,,
B1L01-3-03,愛,爱,ài,Vst,to love,我愛你。,
B1L01-3-04,吃,吃,chī,V,to eat,,
B1L01-3-05,水果,水果,shuǐguǒ,N,fruit,我愛吃水果。,
B1L01-3-06,水,水,shuǐ,N,water,,
B1L01-3-07,喝,喝,hē,V,to drink,,
B1L01-3-08,茶,茶,chá,N,tea,我喜歡喝茶。,
B1L01-3-09,謝謝,谢谢,xièxie,Vst,Thank you.,,
B1L01-3-10,不客氣,不客气,bú kèqì,Ph,You are welcome.,A:謝謝你？ B:不客氣。,
B1L01-3-11,珍珠奶茶,珍珠奶茶,zhēnzhū nǎichá,N,bubble milk tea,,
B1L01-3-12,奶茶,奶茶,nǎichá,N,milk tea,,
B1L01-3-13,自我介紹,自我介绍,zìwǒ jièshào,Ph,self-introduction,,
B1L01-3-14,早安,早安,zǎo'ān,Ph,good morning,,
B1L01-3-15,午安,午安,wǔ'ān,Ph,good afternoon,,
B1L01-3-16,晚安,晚安,wǎn'ān,Ph,good night,,
B1L02-1-01,幾,几,jǐ,N,how many,現在幾點？,
B1L02-1-02,點,点,diǎn,M,o'clock,,
B1L02-1-03,點鐘,点钟,diǎnzhōng,M,o'clock,,
B1L02-1-04,現在,现在,xiànzài,N,now,現在幾點鐘？,
B1L02-1-05,去,去,qù,V,to go,,
B1L02-1-06,學校,学校,xuéxiào,N,school,你幾點去學校？,
B1L02-1-07,媽媽,妈妈,māma,N,mom,,
B1L02-1-08,爸爸,爸爸,bàba,N,dad,,
B1L02-1-09,孩子,孩子,háizi,N,child; children,,
B1L02-1-10,今天,今天,jīntiān,N,today,,
B1L02-1-11,星期,星期,xīngqí,N,week; day of week,,
B1L02-1-12,月,月,yuè,N,month,,
B1L02-1-13,號,号,hào,M,measure word for numbers and dates,,
B1L02-1-14,日,日,rì,N,day,今天是五月十七日。,
B1L02-1-15,星期天,星期天,Xīngqítiān,N,Sunday,,
